NAME,B01001_001E,state,county,tract,block group
Block Group 1; Census Tract 1801.03; Barrow County; Georgia,2025,13,013,180103,1
Block Group 2; Census Tract 1801.03; Barrow County; Georgia,2020,13,013,180103,2
Block Group 3; Census Tract 1801.03; Barrow County; Georgia,1969,13,013,180103,3
Block Group 1; Census Tract 1801.04; Barrow County; Georgia,2611,13,013,180104,1
Block Group 1; Census Tract 1801.05; Barrow County; Georgia,1232,13,013,180105,1
Block Group 2; Census Tract 1801.05; Barrow County; Georgia,1809,13,013,180105,2
Block Group 1; Census Tract 1801.06; Barrow County; Georgia,1425,13,013,180106,1
Block Group 2; Census Tract 1801.06; Barrow County; Georgia,1159,13,013,180106,2
Block Group 1; Census Tract 1801.07; Barrow County; Georgia,1600,13,013,180107,1
Block Group 2; Census Tract 1801.07; Barrow County; Georgia,2612,13,013,180107,2
Block Group 1; Census Tract 1801.08; Barrow County; Georgia,1373,13,013,180108,1
Block Group 2; Census Tract 1801.08; Barrow County; Georgia,1730,13,013,180108,2
Block Group 1; Census Tract 1802.03; Barrow County; Georgia,1886,13,013,180203,1
Block Group 2; Census Tract 1802.03; Barrow County; Georgia,1315,13,013,180203,2
Block Group 1; Census Tract 1802.04; Barrow County; Georgia,1027,13,013,180204,1
Block Group 2; Census Tract 1802.04; Barrow County; Georgia,2114,13,013,180204,2
Block Group 1; Census Tract 1802.05; Barrow County; Georgia,2528,13,013,180205,1
Block Group 2; Census Tract 1802.05; Barrow County; Georgia,775,13,013,180205,2
Block Group 3; Census Tract 1802.05; Barrow County; Georgia,2091,13,013,180205,3
Block Group 1; Census Tract 1802.06; Barrow County; Georgia,1659,13,013,180206,1
Block Group 2; Census Tract 1802.06; Barrow County; Georgia,1682,13,013,180206,2
Block Group 1; Census Tract 1803.01; Barrow County; Georgia,3262,13,013,180301,1
Block Group 1; Census Tract 1803.02; Barrow County; Georgia,2778,13,013,180302,1
Block Group 2; Census Tract 1803.02; Barrow County; Georgia,672,13,013,180302,2
Block Group 3; Census Tract 1803.02; Barrow County; Georgia,2114,13,013,180302,3
Block Group 4; Census Tract 1803.02; Barrow County; Georgia,612,13,013,180302,4
Block Group 1; Census Tract 1803.03; Barrow County; Georgia,2936,13,013,180303,1
Block Group 2; Census Tract 1803.03; Barrow County; Georgia,2951,13,013,180303,2
Block Group 1; Census Tract 1804.01; Barrow County; Georgia,2024,13,013,180401,1
Block Group 2; Census Tract 1804.01; Barrow County; Georgia,2619,13,013,180401,2
Block Group 3; Census Tract 1804.01; Barrow County; Georgia,1685,13,013,180401,3
Block Group 1; Census Tract 1804.02; Barrow County; Georgia,1417,13,013,180402,1
Block Group 2; Census Tract 1804.02; Barrow County; Georgia,1511,13,013,180402,2
Block Group 3; Census Tract 1804.02; Barrow County; Georgia,2009,13,013,180402,3
Block Group 4; Census Tract 1804.02; Barrow County; Georgia,1224,13,013,180402,4
Block Group 1; Census Tract 1805.01; Barrow County; Georgia,3202,13,013,180501,1
Block Group 2; Census Tract 1805.01; Barrow County; Georgia,3789,13,013,180501,2
Block Group 3; Census Tract 1805.01; Barrow County; Georgia,965,13,013,180501,3
Block Group 1; Census Tract 1805.02; Barrow County; Georgia,2153,13,013,180502,1
Block Group 2; Census Tract 1805.02; Barrow County; Georgia,1297,13,013,180502,2
Block Group 3; Census Tract 1805.02; Barrow County; Georgia,1761,13,013,180502,3
Block Group 1; Census Tract 1805.03; Barrow County; Georgia,358,13,013,180503,1
Block Group 2; Census Tract 1805.03; Barrow County; Georgia,1305,13,013,180503,2
Block Group 3; Census Tract 1805.03; Barrow County; Georgia,2571,13,013,180503,3
Block Group 4; Census Tract 1805.03; Barrow County; Georgia,2542,13,013,180503,4
Block Group 1; Census Tract 9601.01; Bartow County; Georgia,1678,13,015,960101,1
Block Group 1; Census Tract 9601.03; Bartow County; Georgia,1166,13,015,960103,1
