State,formal_vol
Alabama,19.50%
Alaska,27.30%
Arizona,23.50%
Arkansas,20.90%
California,18.30%
Colorado,26.20%
Connecticut,28.80%
Delaware,29.80%
District of Columbia,34.20%
Florida,15.90%
Georgia,19.90%
Hawaii,19.70%
Idaho,28.20%
Illinois,28.30%
Indiana,27.60%
Iowa,29.90%
Kansas,31.50%
Kentucky,22.60%
Louisiana,21.90%
Maine,34.90%
Maryland,23.70%
Massachusetts,23.10%
Michigan,24.40%
Minnesota,35.50%
Mississippi,21.20%
Missouri,30.50%
Montana,31.10%
Nebraska,33.90%
Nevada,16.80%
New Hampshire,27.90%
New Jersey,19.90%
New Mexico,19.70%
New York,21.70%
North Carolina,22.80%
North Dakota,26.90%
Ohio,24.30%
Oklahoma,23.60%
Oregon,28.00%
Pennsylvania,25.60%
Rhode Island,20.10%
South Carolina,21.80%
South Dakota,34.20%
Tennessee,23.80%
Texas,21.30%
Utah,40.70%
Vermont,29.10%
Virginia,27.20%
Washington,25.00%
West Virginia,22.40%
Wisconsin,24.90%
Wyoming,39.20%
