State,Gas Tax (cents)
Alabama,30
Alaska,8
Arizona,18
Arkansas,24.6
California,53.9
Colorado,23.7
Connecticut,25
Delaware,23
District of Columbia,23.5
Florida,38.9
Georgia,29.1
Hawaii,16
Idaho,33
Illinois,40.3
Indiana,34
Iowa,31
Kansas,24
Kentucky,24.6
Louisiana,20
Maine,30
Maryland,42.7
Massachusetts,24
Michigan,27.2
Minnesota,28.5
Mississippi,18.4
Missouri,22
Montana,33
Nebraska,25.7
Nevada,23.8
New Hampshire,23.8
New Jersey,37.1
New Mexico,17
New York,25.4
North Carolina,38.8
North Dakota,23
Ohio,38.5
Oklahoma,20
Oregon,38
Pennsylvania,57.6
Rhode Island,35
South Carolina,28
South Dakota,30
Tennessee,26
Texas,20
Utah,0.3
Vermont,30.5
Virginia,28
Washington,49.4
West Virginia,35.7
Wisconsin,30.9
Wyoming,24
Puerto Rico,16
