AREA_TITLE,TOT_EMP,A_MEAN
Alabama,2840.0,96254.19014084506
Alaska,130.0,132686.15384615384
Arizona,6720.0,105691.44345238095
California,90220.0,128726.52626911993
Colorado,9530.0,117141.86778593915
Connecticut,1920.0,102752.55208333333
Delaware,1420.0,136706.7605633803
District of Columbia,7730.0,104468.48641655887
Florida,24620.0,100401.43785540211
Georgia,15610.0,104599.5067264574
Hawaii,50.0,97050.0
Idaho,330.0,97206.9696969697
Illinois,18210.0,110125.87040087864
Indiana,5990.0,76080.75125208682
Iowa,4740.0,93753.9029535865
Kansas,960.0,91401.25
Kentucky,2880.0,83777.43055555556
Louisiana,0.0,
Maine,1340.0,95777.31343283581
Maryland,5280.0,119831.38257575757
Massachusetts,16960.0,122350.12971698113
Michigan,10470.0,93620.45845272206
Minnesota,4540.0,113338.83259911895
Mississippi,510.0,48533.13725490196
Missouri,11340.0,82559.30335097002
Montana,100.0,60500.0
Nebraska,3180.0,90864.68553459119
Nevada,1840.0,56360.217391304344
New Hampshire,1240.0,82007.98387096774
New Jersey,7110.0,128899.52180028129
New Mexico,500.0,62260.0
New York,44020.0,128663.48023625625
North Carolina,15810.0,120560.01897533207
Ohio,9640.0,95078.81742738589
Oklahoma,4400.0,87451.97727272728
Oregon,4120.0,112571.72330097087
Pennsylvania,19170.0,88197.06311945748
Rhode Island,1450.0,119917.86206896552
South Carolina,2570.0,102786.57587548638
South Dakota,260.0,107264.23076923077
Tennessee,2670.0,92890.67415730337
Texas,42170.0,100241.19516243775
Utah,8510.0,89235.75793184488
Vermont,0.0,
Virginia,13460.0,135327.79346210996
Washington,11960.0,124116.1287625418
West Virginia,120.0,64820.0
Wisconsin,7870.0,82400.07623888183
