GeoFips,GeoName,2022 GDP,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area,2022 Median,Poverty (thousands),Poverty Percent,Per Bach or Higher,Employer Insured,Non-Group Insured,Medicaid Insured,Medicare Insured,Military Insured,Uninsured,2020 Life Expect,"Violent crime rate per 100,000 people","Property crime rate per 100,000 people",percent informal_vol,percent formal_vol,percent Good Air Quality Days,Gas Tax (cents),Internet Access Percent 2021,Happiness,A_MEDIAN,A_MEAN,Local government,State government,Accommodation and food services,Administrative and support and waste management and remediation services,"Arts, entertainment, and recreation",Construction,Educational services,Federal civilian,Finance and insurance,"Forestry, fishing, and related activities",Health care and social assistance,Information,Management of companies and enterprises,Manufacturing,Military,"Mining, quarrying, and oil and gas extraction",Other services (except government and government enterprises),"Professional, scientific, and technical services",Real estate and rental and leasing,Retail trade,State and local,Transportation and warehousing,Utilities,Wholesale trade,Farm proprietors employment,Government and government enterprises,Nonfarm proprietors employment 2/,Private nonfarm employment,Farm employment,Nonfarm employment,Proprietors employment,Wage and salary employment,Total employment (number of jobs)
1000,Alabama,108.86,4028389,2283890,56.7,2223904,55.2,59986,2.6,59910,738,14.8,28.8,0.463,0.06,0.208,0.163,0.02,0.086,73.2,409.1010852,1738.96,46.4,19.5,85.8,30.0,78.3,40.82,85870,91570,215739,109051,196421,194542,41767,165585,40314,55291,135312,15615.0,262878,30080,20866,284309.0,27665,8825.0,180860,175579,145517,296118,324790,125376,13475.0,87542,33784,407746,682135,2420981,41204,2828727,715919,2154012,2869931
2000,Alaska,93.958,547752,356433,65.1,343184,62.7,13249,3.7,89740,81,11.5,30.6,0.465,0.049,0.228,0.114,0.037,0.107,76.6,758.8780002,1789.027,55.0,27.3,92.3,8.0,82.3,42.2,100040,103810,37178,22618,34711,17048,10251,23551,5721,15026,13062,10179.0,52932,6406,3882,14642.0,27546,13389.0,20911,23740,20473,43074,59796,29850,2643.0,7362,865,102368,107642,353827,1492,456195,108507,349180,457687
4000,Arizona,121.127,5911209,3640559,61.6,3494698,59.1,145861,4.0,73450,876,12.1,33.0,0.455,0.057,0.208,0.162,0.015,0.103,76.3,431.4872941,2057.575,46.6,23.5,64.6,18.0,78.9,53.48,102770,104220,263047,92586,317706,322974,85991,270022,92109,56515,309879,14280.0,476659,66692,53464,204725.0,33584,20295.0,214742,289301,272829,422975,355633,240127,12818.0,126540,17524,445732,1063401,3814128,27735,4259860,1080925,3206670,4287595
5000,Arkansas,110.876,2390778,1373033,57.4,1325681,55.4,47352,3.4,53980,475,15.9,25.4,0.411,0.055,0.274,0.161,0.013,0.085,73.8,645.3165627,2451.507,50.7,20.9,83.0,24.6,81.8,39.72,,,108457,76711,121494,99034,24216,102565,23608,20628,77180,14226.0,197663,18081,39794,168636.0,14876,10065.0,95794,76760,80147,176418,185168,91558,8090.0,56945,37615,220672,386590,1482274,52590,1702946,424205,1331331,1755536
6000,California,115.578,31110628,19272358,61.9,18482096,59.4,790262,4.1,85300,4439,11.4,37.0,0.47,0.069,0.268,0.12,0.008,0.065,79.0,499.457562,2343.152,46.1,18.3,60.6,53.9,81.2,60.53,126810,147390,1766925,570800,1775446,1581853,617031,1259662,554586,248067,1318004,259767.0,2942827,727797,284267,1419413.0,193639,36926.0,1423034,2231632,1454721,2090805,2337725,1474413,67516.0,773657,55474,2779431,6431184,22293357,228186,25072788,6486658,18814316,25300974
8000,Colorado,118.819,4703862,3198338,68.0,3109208,66.1,89130,2.8,89930,489,8.5,45.9,0.527,0.068,0.182,0.134,0.02,0.07,78.3,492.4548701,3147.574,58.9,26.2,75.4,23.7,85.4,51.51,103200,116560,274864,134051,305534,219213,107437,279748,83722,53416,282960,13906.0,367415,99290,54843,169226.0,55130,43512.0,211741,418902,280499,347400,408915,196383,9613.0,129913,34941,517461,1149950,3621257,49226,4138718,1184891,3003053,4187944
9000,Connecticut,101.02,2952896,1914328,64.8,1838121,62.2,76207,4.0,90730,350,9.8,41.9,0.525,0.052,0.224,0.142,0.005,0.052,78.4,150.0466741,1493.986,50.2,28.8,83.4,25.0,77.2,60.68,105700,110220,138556,71142,136689,125296,52697,118770,93478,18327,224143,,315047,40949,36844,165442.0,12074,,115869,170763,147423,210850,209698,108315,5627.0,69512,4936,240099,658897,2142109,9738,2382208,663833,1728113,2391946
10000,Delaware,108.075,828264,495435,59.8,472405,57.0,23030,4.6,80750,106,10.5,36.5,0.503,0.054,0.194,0.184,0.01,0.055,76.7,383.5443187,1964.069,63.9,29.8,80.3,23.0,81.7,58.68,132300,133320,29090,32726,44840,39465,14511,35183,9169,5980,76624,1145.0,78600,6494,11430,27851.0,8696,314.0,28664,41198,37989,62076,61816,39442,2145.0,14387,1852,76492,167234,571527,3205,648019,169086,482138,651224
11000,District of Columbia,107.246,551770,388214,70.4,371865,67.4,16349,4.2,101700,98,14.7,65.4,0.576,0.057,0.241,0.085,0.012,0.029,75.3,812.2916986,3561.461,52.7,34.2,69.0,23.5,85.8,,97660,110190,42431,0,62847,52111,16113,18852,54388,192127,34760,,72723,23630,4333,,14249,226.0,80259,151816,35820,25358,42431,12534,2268.0,5966,0,248807,126132,655952,0,904759,126132,778627,904759
12000,Florida,120.058,18330654,10839794,59.1,10548993,57.5,290801,2.7,65370,2861,13.1,34.3,0.403,0.109,0.177,0.182,0.017,0.112,77.5,258.8782118,1566.221,44.6,15.9,89.8,38.9,74.6,59.31,100520,100780,696328,245455,1099925,1125898,376976,887971,260535,149980,1038373,62725.0,1483472,212989,178748,457131.0,102841,17175.0,905527,1109022,1057272,1378095,941783,835313,27867.0,447827,38372,1194604,4390494,12962841,69807,14157445,4428866,9798386,14227252
13000,Georgia,112.387,8575775,5233716,61.0,5072255,59.1,161461,3.1,67730,1391,13.0,34.7,0.483,0.068,0.183,0.13,0.02,0.117,75.6,366.9793371,1690.783,40.8,19.9,82.1,29.1,81.2,54.1,100400,106400,406667,163870,486856,559917,128625,388426,141074,106573,380470,26121.0,630643,162140,98975,446773.0,91387,9318.0,429942,506412,366520,658170,570537,454899,21583.0,249085,34525,768497,1948377,6145949,57015,6914446,1982902,4988559,6971461
15000,Hawaii,97.455,1123661,679695,60.5,654504,58.2,25191,3.7,91010,146,10.2,35.4,0.496,0.053,0.197,0.17,0.049,0.036,80.7,259.617441,2434.738,43.5,19.7,99.4,16.0,79.2,66.42,112330,103470,18834,68416,106374,51727,21848,49266,20474,34710,35782,4103.0,85954,11019,9533,16262.0,50522,701.0,49120,49890,53091,84308,87250,44365,4053.0,21689,5874,172482,210988,719559,11581,892041,216862,686760,903622
16000,Idaho,125.706,1523949,954796,62.7,928419,60.9,26377,2.8,72580,170,8.9,32.3,0.475,0.073,0.204,0.151,0.014,0.082,78.4,241.408991,926.8537,54.3,28.2,79.0,33.0,88.6,59.31,96490,95520,82594,30375,81610,65200,24838,93405,26229,13034,57109,13753.0,120991,12888,11008,79937.0,8970,4833.0,55593,77793,73842,122917,112969,50967,3415.0,38945,22127,134973,302681,1015273,40378,1150246,324808,865816,1190624
17000,Illinois,103.764,10023321,6469544,64.5,6172284,61.6,297260,4.6,78020,1174,9.4,37.7,0.531,0.052,0.201,0.144,0.006,0.066,76.8,287.3065336,1682.725,55.6,28.3,75.0,40.3,87.8,56.23,103730,109870,573682,143371,526797,561252,159490,346844,209753,78872,586256,13095.0,894209,121445,95776,588841.0,45200,17205.0,457843,625404,381470,721799,717053,526137,24907.0,321423,57681,841125,1846369,7179946,73287,8021071,1904050,6190308,8094358
18000,Indiana,110.761,5375393,3410069,63.4,3302670,61.4,107399,3.1,70030,739,10.9,29.6,0.521,0.048,0.205,0.15,0.008,0.068,75.0,306.2327922,1544.174,52.2,27.6,80.9,34.0,83.0,46.48,75970,78890,260685,113080,285029,246351,70508,230173,88246,38347,182354,,459819,39871,41114,557860.0,18605,,232668,213438,182215,393058,373765,254558,13595.0,141404,47575,430717,811197,3652621,57327,4083338,858772,3281893,4140665
19000,Iowa,105.729,2525979,1722709,68.2,1670360,66.1,52349,3.0,76320,299,9.4,32.3,0.534,0.053,0.206,0.159,0.007,0.041,77.5,286.5162097,1331.472,60.3,29.9,78.3,31.0,85.7,55.03,94860,94190,173640,66826,126731,88801,35650,122748,42971,17653,148523,17052.0,210890,26000,26664,229880.0,11474,3480.0,104116,86815,91759,216438,240466,97385,6123.0,72724,68612,269593,417590,1754750,89652,2024343,486202,1627793,2113995
20000,Kansas,105.125,2272793,1505800,66.3,1461932,64.3,43868,2.9,73040,260,9.0,35.6,0.535,0.066,0.142,0.15,0.02,0.087,76.4,414.6196143,1992.237,57.6,31.5,80.8,24.0,84.1,54.46,88860,94920,177845,56892,121470,105189,31937,98664,28790,25769,116460,11727.0,208635,23778,26274,175340.0,31906,32913.0,97044,114830,87841,178827,234737,98726,6308.0,63964,49095,292412,430781,1628717,61129,1921129,479876,1502382,1982258
21000,Kentucky,106.879,3548645,2039859,57.5,1959793,55.2,80066,3.9,55880,706,15.8,27.9,0.458,0.037,0.283,0.156,0.012,0.054,73.5,214.1475209,1448.814,51.1,22.6,85.2,24.6,81.0,40.58,81990,86470,167531,91546,185894,159649,43132,139213,39309,34464,122273,13745.0,290694,28919,25876,260282.0,48763,13356.0,133945,128994,116545,258504,259077,181219,7173.0,85568,65949,342304,530904,2234290,82385,2576594,596853,2062126,2658979
