SAGDP1 State annual gross domestic product (GDP) summary
SAGDP1 State annual gross domestic product (GDP) summary
State or DC
GeoFips,GeoName,2020,2021,2022
00000,United States,103.171,109.156,111.268
01000,Alabama,102.523,107.053,108.860
02000,Alaska,94.013,95.277,93.958
04000,Arizona,108.858,117.324,121.127
05000,Arkansas,103.373,109.433,110.876
06000,California,106.736,114.801,115.578
08000,Colorado,108.770,116.205,118.819
09000,Connecticut,94.432,98.164,101.020
10000,Delaware,104.305,107.017,108.075
11000,District of Columbia,102.579,106.238,107.246
12000,Florida,105.273,114.772,120.058
13000,Georgia,103.218,109.544,112.387
15000,Hawaii,91.029,96.209,97.455
16000,Idaho,113.551,120.645,125.706
17000,Illinois,97.284,102.392,103.764
18000,Indiana,100.461,107.416,110.761
19000,Iowa,100.006,106.063,105.729
20000,Kansas,101.364,103.949,105.125
21000,Kentucky,101.339,105.404,106.879
22000,Louisiana,95.411,97.575,96.427
23000,Maine,107.016,112.491,114.941
24000,Maryland,97.202,101.549,103.144
25000,Massachusetts,104.917,111.654,114.002
26000,Michigan,99.482,105.226,106.889
27000,Minnesota,100.960,105.641,106.876
28000,Mississippi,99.649,103.552,103.511
29000,Missouri,101.286,106.054,108.145
30000,Montana,103.485,109.246,111.374
31000,Nebraska,102.979,108.339,111.247
32000,Nevada,101.590,110.971,114.723
33000,New Hampshire,102.467,110.730,111.051
34000,New Jersey,100.998,106.596,109.599
35000,New Mexico,104.615,106.826,108.695
36000,New York,101.586,106.134,108.538
37000,North Carolina,103.289,109.236,111.384
38000,North Dakota,98.530,98.002,96.937
39000,Ohio,100.368,105.216,105.749
40000,Oklahoma,99.072,100.509,99.504
41000,Oregon,105.381,110.892,112.935
42000,Pennsylvania,97.634,101.363,102.389
44000,Rhode Island,98.951,103.413,105.818
45000,South Carolina,103.901,108.854,111.530
46000,South Dakota,102.087,106.830,106.479
47000,Tennessee,103.134,111.580,115.949
48000,Texas,106.290,112.365,115.396
49000,Utah,113.180,122.025,124.305
50000,Vermont,99.134,103.902,106.199
51000,Virginia,103.622,109.263,111.996
53000,Washington,111.995,119.662,121.620
54000,West Virginia,98.378,100.463,101.800
55000,Wisconsin,100.337,103.924,104.288
56000,Wyoming,96.175,98.164,99.133
91000,New England,101.568,107.362,109.693
92000,Mideast,100.260,104.717,106.758
93000,Great Lakes,99.246,104.472,105.834
94000,Plains,101.097,105.565,106.754
95000,Southeast,103.058,109.539,112.483
96000,Southwest,106.000,111.876,114.623
97000,Rocky Mountain,109.329,116.661,119.324
98000,Far West,106.615,114.364,115.490

Legend/Footnotes
"  Last updated: September 29, 2023-- revised statistics for 2017-2022."
