AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
10420,"Akron, OH",4,OH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,140,9.1,0.461,0.43,,,42.83,89080,4.4,22.81,31.41,41.73,55.89,59.33,47450,65330,86810,116260,123410,,
10580,"Albany-Schenectady-Troy, NY",4,NY,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,420,10.7,0.983,0.91,,,48.44,100750,2.2,26.59,32.39,44.78,61,75.18,55310,67370,93140,126880,156380,,
10740,"Albuquerque, NM",4,NM,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,220,8.8,0.565,0.52,,,41.96,87270,2.6,23.99,30.19,39.8,46.23,60.98,49900,62790,82780,96160,126840,,
10900,"Allentown-Bethlehem-Easton, PA-NJ",4,PA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,190,9.7,0.532,0.49,,,46.27,96250,1.5,27.49,34.74,41.8,58.83,67.95,57180,72260,86950,122360,141340,,
11180,"Ames, IA",4,IA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,70,10.4,1.416,1.31,,,37.43,77840,6.4,24.61,30.06,32.35,40.61,49.3,51180,62520,67290,84480,102540,,
11260,"Anchorage, AK",4,AK,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,90,12.7,0.525,0.49,,,51.15,106390,2.3,29.86,35.69,48.31,63.56,79.95,62100,74230,100490,132190,166300,,
11460,"Ann Arbor, MI",4,MI,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,320,10.8,1.535,1.42,,,50.22,104460,5,29.93,38.37,50.08,59.58,66.21,62250,79820,104170,123920,137710,,
11540,"Appleton, WI",4,WI,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,90,6.1,0.752,0.7,,,42.32,88030,1.9,27.23,33.46,38.53,48.48,62.73,56640,69600,80150,100840,130480,,
11700,"Asheville, NC",4,NC,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,60,15.3,0.301,0.28,,,57.64,119900,9.6,29.12,41.86,60.04,60.04,94.43,60560,87080,124890,124890,196420,,
12020,"Athens-Clarke County, GA",4,GA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,30,18.2,0.352,0.33,,,50.71,105470,15.9,26.27,37.56,47.71,61.69,75.09,54640,78130,99240,128300,156200,,
12060,"Atlanta-Sandy Springs-Roswell, GA",4,GA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,4480,5.3,1.643,1.52,,,53.21,110670,2.4,30.56,38.36,50.03,64.9,79.8,63570,79790,104060,134990,165990,,
12260,"Augusta-Richmond County, GA-SC",4,GA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,90,12.6,0.401,0.37,,,40.57,84380,3.3,23.38,27.17,38.46,47.33,65.78,48640,56520,79990,98440,136820,,
12420,"Austin-Round Rock, TX",4,TX,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1990,3.8,1.689,1.56,,,53.65,111600,1.3,27.92,38.15,50.65,66.48,81.56,58060,79350,105350,138280,169640,,
12540,"Bakersfield, CA",4,CA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,120,14.2,0.372,0.34,,,55.68,115810,4.7,27.32,35.23,53.66,73.54,87.29,56820,73270,111620,152960,181560,,
12580,"Baltimore-Columbia-Towson, MD",4,MD,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,870,17.7,0.672,0.62,,,57.3,119180,4.3,32.18,40.03,58.88,72.84,79.32,66920,83270,122470,151500,164980,,
12940,"Baton Rouge, LA",4,LA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,490,3.6,1.283,1.19,,,32.88,68390,1.6,25,31.25,31.45,31.45,38.63,52010,65000,65410,65410,80340,,
12980,"Battle Creek, MI",4,MI,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,30,8,0.644,0.6,,,37.14,77250,4.8,24.59,25.88,36.15,46.26,49.56,51150,53830,75180,96230,103080,,
13460,"Bend-Redmond, OR",4,OR,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,12,0.574,0.53,,,38.6,80280,4.3,24.03,28.89,35.5,45.74,52.18,49990,60100,73850,95140,108530,,
13780,"Binghamton, NY",4,NY,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,13,0.557,0.52,,,49.91,103810,3,23.9,32.28,45.9,62.91,85.56,49720,67150,95460,130840,177970,,
13820,"Birmingham-Hoover, AL",4,AL,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,210,9.4,0.413,0.38,,,42.04,87450,3.4,19.81,28.76,36.05,51.09,70.34,41210,59830,74980,106260,146310,,
14020,"Bloomington, IN",4,IN,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,30,20.1,0.471,0.44,,,36.17,75230,6.3,20.72,28.18,36.19,44.16,47.7,43100,58620,75270,91840,99220,,
14260,"Boise City, ID",4,ID,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,190,14.2,0.533,0.49,,,47.17,98110,2.9,31.94,36.35,47.06,55.91,62.21,66430,75620,97890,116280,129410,,
14500,"Boulder, CO",4,CO,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,380,8.3,1.996,1.85,,,68.14,141740,2.5,30.49,39.6,50.92,74.02,#,63430,82370,105910,153960,#,,
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",4,NY,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,390,12.7,0.751,0.7,,,46.75,97230,1.7,23.37,33.42,45.52,57.08,73.18,48610,69510,94690,118720,152210,,
15680,"California-Lexington Park, MD",4,MD,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,21.7,1.158,1.07,,,53.45,111170,7.7,32.27,40.64,48.92,67.37,78.42,67120,84530,101760,140130,163100,,
15940,"Canton-Massillon, OH",4,OH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,60,10.8,0.385,0.36,,,37.78,78590,3.2,22.44,24,37,46.82,59.89,46670,49920,76960,97380,124570,,
15980,"Cape Coral-Fort Myers, FL",4,FL,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,210,38,0.726,0.67,,,48.03,99910,6.7,23.55,37.93,47.71,58.19,77.81,48990,78900,99230,121020,161840,,
16300,"Cedar Rapids, IA",4,IA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,130,5.6,0.91,0.84,,,40.85,84980,2.9,21.06,30.68,40.36,48.72,56.9,43800,63810,83950,101330,118350,,
16580,"Champaign-Urbana, IL",4,IL,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,100,7.7,0.995,0.92,,,47.5,98790,4,31.22,32.24,41.85,53.25,69.94,64930,67060,87040,110760,145460,,
16700,"Charleston-North Charleston, SC",4,SC,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,160,11.5,0.461,0.43,,,44.04,91600,7.1,29.1,32.93,40.17,53.66,62.21,60520,68490,83560,111610,129400,,
16740,"Charlotte-Concord-Gastonia, NC-SC",4,NC,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,2430,3.7,1.911,1.77,,,61.93,128810,0.7,39.17,50.86,64.51,71.6,83.06,81480,105780,134190,148930,172770,,
16820,"Charlottesville, VA",4,VA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,150,13.7,1.393,1.29,,,56.47,117460,2.4,36.61,40.92,54.77,64.17,82.76,76140,85110,113920,133470,172140,,
16860,"Chattanooga, TN-GA",4,TN,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,70,28.9,0.265,0.25,,,53.07,110390,6.2,27.65,35.23,45.84,62.59,70.16,57510,73270,95350,130200,145930,,
16980,"Chicago-Naperville-Elgin, IL-IN-WI",4,IL,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,5100,6.1,1.155,1.07,,,53.27,110800,1,28.36,38.29,50.18,63.89,81.64,58980,79640,104370,132900,169810,,
17140,"Cincinnati, OH-KY-IN",4,OH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1070,8.2,1.009,0.93,,,47.67,99160,1,25.53,38.42,48.3,59.2,65.18,53110,79910,100470,123140,135570,,
17460,"Cleveland-Elyria, OH",4,OH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,800,7.8,0.813,0.75,,,46.71,97150,3,24.45,35.96,46.17,56.56,67.33,50860,74790,96030,117650,140040,,
17780,"College Station-Bryan, TX",4,TX,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,90,20.6,0.737,0.68,,,49.87,103730,8.4,24.47,33.65,47.98,62.09,76.95,50900,69990,99790,129140,160060,,
17820,"Colorado Springs, CO",4,CO,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,300,11.1,0.979,0.91,,,56.18,116860,3.4,24.9,36.13,49.99,65.57,86.35,51790,75150,103990,136380,179620,,
17860,"Columbia, MO",4,MO,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,60,16.9,0.59,0.55,,,36.16,75220,2,23.06,28.97,33.4,44.02,50.6,47960,60260,69470,91560,105250,,
17900,"Columbia, SC",4,SC,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,220,12,0.59,0.55,,,41.1,85490,4,27.52,29.96,38.63,48.26,60.31,57230,62310,80350,100370,125440,,
17980,"Columbus, GA-AL",4,GA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,110,5.3,0.979,0.91,,,42.85,89130,2.2,27.6,35.22,46.16,46.16,56.8,57400,73250,96010,96010,118150,,
18140,"Columbus, OH",4,OH,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,860,9.3,0.809,0.75,,,45.1,93820,2.3,21.76,32.59,44.54,58.33,67.93,45260,67780,92650,121320,141300,,
18580,"Corpus Christi, TX",4,TX,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,110,9.4,0.623,0.58,,,39.66,82490,5.8,19,25.16,33.89,50.14,67.01,39520,52330,70490,104280,139370,,
18880,"Crestview-Fort Walton Beach-Destin, FL",4,FL,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,60,30.5,0.527,0.49,,,48.1,100050,7.6,27.27,34.45,47.22,55.64,65.31,56710,71650,98220,115730,135850,,
