AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
200006,Alaska nonmetropolitan area,6,AK,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,18.1,0.481,0.45,,,49.9,103790,7.3,31.99,35.93,47.99,62.91,77.41,66530,74740,99830,130860,161010,,
400001,Arizona nonmetropolitan area,6,AZ,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,11.8,0.549,0.51,,,40.07,83350,3.8,19.96,28.23,37.93,47.47,66.1,41520,58710,78890,98740,137490,,
600007,North Valley-Northern Mountains Region of California nonmetropolitan area,6,CA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,30,22.4,0.329,0.31,,,44.7,92970,5.8,28.39,28.86,32.13,46.66,91.23,59040,60040,66830,97050,189750,,
800003,Northwest Colorado nonmetropolitan area,6,CO,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,17.1,0.306,0.28,,,38.83,80760,11.8,25.07,25.45,36.31,45.72,56.92,52140,52930,75530,95110,118400,,
1200003,South Florida nonmetropolitan area,6,FL,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,18.1,0.508,0.47,,,50.06,104130,19,29.37,33.35,47.64,61.25,77.69,61080,69370,99080,127390,161600,,
1300001,North Georgia nonmetropolitan area,6,GA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,34.7,0.216,0.2,,,38.69,80480,8.5,25.01,28.84,36.21,47.11,50.96,52020,59990,75310,98000,106000,,
1300004,South Georgia nonmetropolitan area,6,GA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,13,0.194,0.18,,,36.27,75450,5.8,18.98,22.08,31.39,47.07,65.03,39480,45930,65280,97910,135260,,
1700002,West Central Illinois nonmetropolitan area,6,IL,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,14,0.23,0.21,,,40.75,84760,6.5,23.68,28.07,30.99,61.4,61.4,49250,58390,64460,127710,127720,,
1800001,Northern Indiana nonmetropolitan area,6,IN,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,26.4,0.211,0.2,,,36.17,75240,2.8,21.14,24.89,31.04,46.43,57.8,43960,51760,64570,96570,120220,,
1800002,Central Indiana nonmetropolitan area,6,IN,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,60,11.5,0.377,0.35,,,32.47,67540,6,21.14,24.43,29.6,39.32,48.53,43970,50810,61570,81790,100940,,
1800003,Southern Indiana nonmetropolitan area,6,IN,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,50,7.1,0.249,0.23,,,32.02,66600,9.9,19.16,23.47,29.18,38.19,48.9,39840,48820,60700,79420,101720,,
1900004,Southeast Iowa nonmetropolitan area,6,IA,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,110,5.9,0.501,0.46,,,37.31,77600,3.8,19.73,22.59,36.09,46.51,52.98,41030,46990,75060,96740,110200,,
2100001,West Kentucky nonmetropolitan area,6,KY,000000,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,40,20.9,0.252,0.23,,,41.49,86300,4.4,21.16,30.16,40.21,45.98,65.46,44020,62740,83630,95640,136160,,
