State,Good Air Quality Days
Hawaii,99.40%
Maine,93.20%
Alaska,92.30%
Virginia,91.50%
Vermont,91.30%
New Hampshire,91%
Florida,89.80%
New York,88.70%
Washington,88.70%
Louisiana,87.90%
Massachusetts,87.10%
Nebraska,86.80%
Rhode Island,86.70%
West Virginia,86.70%
North Carolina,86.30%
Missouri,86.10%
Alabama,85.80%
Mississippi,85.50%
Kentucky,85.20%
South Carolina,84.90%
Tennessee,84.50%
Maryland,84.20%
Connecticut,83.40%
Minnesota,83.40%
Arkansas,83%
Oregon,83%
New Jersey,82.30%
Georgia,82.10%
South Dakota,82.10%
North Dakota,81.10%
Indiana,80.90%
Ohio,80.90%
Kansas,80.80%
Montana,80.80%
Texas,80.50%
Delaware,80.30%
Michigan,79.90%
Wisconsin,79.80%
Pennsylvania,79.20%
Idaho,79%
New Mexico,78.90%
Wyoming,78.90%
Iowa,78.30%
Oklahoma,76.70%
Colorado,75.40%
Illinois,75%
Nevada,72.50%
Utah,70.20%
District of Columbia,69%
Arizona,64.60%
California,60.60%
