State,Internet Access Percent 2021
Idaho,88.60
Wisconsin,87.80
Illinois,87.80
Oregon,87.40
Minnesota,86.80
District of Columbia,85.80
Iowa,85.70
Colorado,85.40
Maine,85.40
New Jersey,85.30
South Dakota,84.60
New Hampshire,84.40
Utah,84.40
Kansas,84.10
Washington,83.90
Indiana,83
Louisiana,82.90
Vermont,82.90
Maryland,82.50
Alaska,82.30
Missouri,82
Rhode Island,81.80
Arkansas,81.80
Delaware,81.70
Michigan,81.50
Nebraska,81.40
South Carolina,81.30
Georgia,81.20
California,81.20
Kentucky,81
New Mexico,80.50
Total US,80.50
Massachusetts,80.50
Virginia,80.50
Ohio,80.40
West Virginia,80.20
Montana,79.80
Hawaii,79.20
Tennessee,79.10
Arizona,78.90
Wyoming,78.70
Oklahoma,78.70
North Dakota,78.40
Alabama,78.30
Mississippi,78.10
North Carolina,78
Connecticut,77.20
Texas,77
New York,76.40
Pennsylvania,75.70
Florida,74.60
Nevada,72.50
