State ,2022 Median
Alabama,59910
Alaska,89740
Arizona,73450
Arkansas,53980
California,85300
Colorado,89930
Connecticut,90730
Delaware,80750
District of Columbia,101700
Florida,65370
Georgia,67730
Hawaii,91010
Idaho,72580
Illinois,78020
Indiana,70030
Iowa,76320
Kansas,73040
Kentucky,55880
Louisiana,58330
Maine,75160
Maryland,108200
Massachusetts,93550
Michigan,68990
Minnesota,90390
Mississippi,48610
Missouri,71520
Montana,72980
Nebraska,78360
Nevada,72330
New Hampshire,84970
New Jersey,92340
New Mexico,56420
New York,75910
North Carolina,65070
North Dakota,78720
Ohio,67520
Oklahoma,63440
Oregon,86780
Pennsylvania,72210
Rhode Island,80650
South Carolina,61770
South Dakota,67180
Tennessee,65380
Texas,74640
Utah,95800
Vermont,72190
Virginia,85170
Washington,89430
West Virginia,52460
Wisconsin,73330
Wyoming,73090
