ST,STATE,SPL_THEME1,SPL_THEME2,SPL_THEME3,SPL_THEME4
1,Alabama,2.7472877622377623,2.4966756813417192,0.490230607966457,2.1029745454545457
2,Alaska,2.558744886363636,2.2831846590909093,0.5525363636363636,2.8593514285714288
4,Arizona,2.592031433506045,2.54770333716916,0.5710225529479107,2.2085082997118155
5,Arkansas,2.65021703163017,2.645904136253041,0.4115294403892944,2.357152131546894
6,California,2.6722529112805216,2.5356663721700716,0.7200410747715009,2.453915642272828
8,Colorado,2.171850662944871,2.1753723849372384,0.45166196105702366,1.9710343575418996
9,Connecticut,2.2166956471935855,2.4247260022909507,0.47044543378995435,2.0775902634593355
10,Delaware,2.24133984375,2.48325703125,0.5019836575875487,2.003697265625
11,District of Columbia,2.113666990291262,1.922554854368932,0.7163956310679612,2.872909803921569
12,Florida,2.7951768866995073,2.5617598226600986,0.558411045481394,2.199515069033531
13,Georgia,2.765101438848921,2.4073639238232123,0.5969852370689656,1.9982426105717366
15,Hawaii,1.8685924170616115,2.4343656398104265,0.8325082159624413,2.2911364928909954
16,Idaho,2.354410964912281,2.3697070175438593,0.29626403508771926,2.076808552631579
17,Illinois,2.411910838194658,2.4137769112680383,0.5040725905463475,2.1240721829904823
18,Indiana,2.4122615795724465,2.4614804863582442,0.32208832246591584,2.0876452168746287
19,Iowa,1.9003040268456375,2.399090380313199,0.2338665548098434,2.2869156774916015
20,Kansas,2.25506773006135,2.5069908088235295,0.37307279411764704,2.1787766871165646
21,Kentucky,2.505284259259259,2.494371285604311,0.23740830130668716,2.219811565150347
22,Louisiana,2.8610536263736264,2.511262271062271,0.5534939970717423,2.239806744868035
23,Maine,2.24473425,2.28385625,0.12650925,2.363962
24,Maryland,2.1415694845360824,2.3729408934707905,0.5986588074023304,1.9837534707903781
25,Massachusetts,1.9745867794486216,2.355803692115144,0.4221816135084428,2.2623594221105527
26,Michigan,2.3291155700998964,2.3873185134205093,0.37384922760041195,2.1309529533678755
27,Minnesota,1.8031696261682242,2.296616288384513,0.3101935333333333,2.3513505340453937
28,Mississippi,3.0580183696900116,2.557478874856487,0.567881995412844,2.2257650975889782
29,Missouri,2.4482222424242424,2.393479272727273,0.3177607272727273,2.175715515151515
30,Montana,2.2336574132492113,2.1996640378548897,0.23268867924528303,2.419224605678233
31,Nebraska,2.0483985454545457,2.4642945454545457,0.31813634719710665,2.176928909090909
32,Nevada,2.856862775616083,2.6082536964980547,0.6330987046632125,2.0695346753246753
33,New Hampshire,1.9242841498559076,2.088185014409222,0.16849308357348705,2.1342345821325646
34,New Jersey,2.3567301154734412,2.42783311778291,0.5717321198156682,2.101399168591224
35,New Mexico,2.8062796666666667,2.8027670000000002,0.7388223880597016,2.3001886666666667
36,New York,2.459113046771445,2.437629003592362,0.5374152903469079,2.5176130699088146
37,North Carolina,2.6851589103291715,2.4749793794930004,0.49454497734138975,2.2483009462528387
38,North Dakota,1.8423587719298244,2.1359921052631576,0.24618728070175439,2.4956333333333336
39,Ohio,2.3438205714285716,2.4166450967946687,0.33905328258801143,2.0233648253968255
40,Oklahoma,2.754649456975773,2.6685595655806185,0.5161610508757298,2.2351351464435147
41,Oregon,2.4501576612903224,2.4390301411290323,0.38185866935483875,2.5967342741935484
42,Pennsylvania,2.2021341563786008,2.401618737151248,0.3328238792850864,2.154206766696087
44,Rhode Island,2.344275203252032,2.4644776422764227,0.396659756097561,2.216289837398374
45,South Carolina,2.7189405963302753,2.466406722689076,0.5089445884146342,2.226886983154671
46,South Dakota,2.1270471074380164,2.3285528925619836,0.2825566115702479,2.513662396694215
47,Tennessee,2.6784614880952384,2.4684179548156955,0.3676556346381969,2.114325238095238
48,Texas,2.8713931831480397,2.6360652237496347,0.6820129945977514,2.1611800087873463
49,Utah,2.0220654442877293,2.2360510578279267,0.349176338028169,1.899267983074753
50,Vermont,2.0143375,2.164521354166667,0.12097083333333332,2.353896354166667
51,Virginia,2.2356469227209628,2.292388020351526,0.5130005996309963,1.9279986117538175
53,Washington,2.175345223289994,2.410469643866591,0.4625538418079096,2.4332317128321086
54,West Virginia,2.5951836697247708,2.4138133944954125,0.14610954128440368,2.3129858715596328
55,Wisconsin,2.0204216021011163,2.311735498687664,0.30063291803278686,2.2618238845144356
56,Wyoming,2.2420421383647797,2.251914465408805,0.2734836477987421,2.3607320754716983
